,Unnamed: 0,exp_id,agent_id,env_name,exp_seed,num_episodes,time_limit,episode_step_limit,policy_id,discount,c_init,c_base,truncated,action_selection,extra_particles_prop,step_limit,epsilon,other_policy_dist,meta_policy_dict,num_sims,search_time_mean,search_time_std,update_time_mean,update_time_std,reinvigoration_time_mean,reinvigoration_time_std,policy_calls_mean,policy_calls_std,inference_time_mean,inference_time_std,search_depth_mean,search_depth_std,episode_returns_mean,episode_returns_std,episode_returns_max,episode_returns_min,episode_discounted_returns_mean,episode_discounted_returns_std,episode_discounted_returns_max,episode_discounted_returns_min,episode_steps_mean,episode_steps_std,episode_times_mean,episode_times_std,episode_dones,num_outcome_LOSS,num_outcome_DRAW,num_outcome_WIN,num_outcome_NA,belief_size
178,0,81,0,LBF5x5-n2-f3-static-v2,0,1000,43200,None,POMetaRollout_ucb_128,0.99,1.25,20000,False,ucb,0.0625,50,0.01,"{1: {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic2-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic3-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic4-v0': 0.25}}","{(-1, 'LBF5x5-n2-f3-static-v2/heuristic1-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic2-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic3-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic4-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}}",128,0.2893339674392284,0.1336477240472973,0.2003502830046552,0.0355281053269645,0.190985687856683,0.0343855787076278,2511.4505841661226,941.0429134608298,0.0042798205028088,0.0017450076539716,0.9781170033294064,0.0901278774307811,0.5028039682539677,0.3103249192624455,1.5,0.0,0.4370231380889743,0.2630786617418295,1.3028123507542682,0.0,24.581,13.835369131324253,12.42538680958748,8.929488407784845,1.0,0,0,0,1000,
179,1,81,1,LBF5x5-n2-f3-static-v2,0,1000,43200,None,LBF5x5-n2-f3-static-v2/heuristic2-v0,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,0.4995115079365076,0.3282462120629188,1.6666666666666663,0.0,0.4230971849058401,0.2874789175595486,1.5075163109424867,0.0,24.581,13.835369131324253,12.42538680958748,8.929488407784845,1.0,0,0,0,1000,
180,0,113,0,LBF5x5-n2-f3-static-v2,0,385,43200,None,POMetaRollout_pucb_2048,0.99,1.25,20000,False,pucb,0.0625,50,0.01,"{1: {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic2-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic3-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic4-v0': 0.25}}","{(-1, 'LBF5x5-n2-f3-static-v2/heuristic1-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic2-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic3-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic4-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}}",2048,6.127199829165694,3.337747399990216,0.9110784461281122,0.1654096211244221,0.600286994165253,0.0875405331954269,34151.901516475475,20527.706528055583,0.0715091521559272,0.0455030327129357,0.992130440987584,0.0665549726653011,0.6686157493300348,0.2656649110773155,1.5,0.0,0.6327688701891934,0.264013125285863,1.30488321928484,0.0,13.24935064935065,10.87688629261608,112.30340714826212,145.1962111555754,1.0,0,0,0,385,
181,1,113,1,LBF5x5-n2-f3-static-v2,0,385,43200,None,LBF5x5-n2-f3-static-v2/heuristic2-v0,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,0.3489177489177492,0.3297058710506819,1.3333333333333333,0.0,0.3078362270051744,0.288195346931735,1.274519432934,0.0,13.24935064935065,10.87688629261608,112.30340714826212,145.1962111555754,1.0,0,0,0,385,
182,0,31,0,LBF5x5-n2-f3-static-v2,0,1000,43200,None,POMeta_8,0.99,1.25,20000,False,pucb,0.0625,50,0.01,"{1: {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic2-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic3-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic4-v0': 0.25}}","{(-1, 'LBF5x5-n2-f3-static-v2/heuristic1-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic2-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic3-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic4-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}}",,1.5866881319997474e-05,5.787911563566152e-05,0.1955626379036208,0.0775992610085686,0.194031722801446,0.0775143717346518,540.6590683375449,215.90612944907576,0.0013549297221156,0.0005421192107211,0.0,0.0,0.6894948412698422,0.2800936175883437,1.6666666666666663,0.0,0.651667718788491,0.2775708532617812,1.5917742386046598,0.0,13.613,10.80422283183756,2.4248592886924745,2.4289866556254416,1.0,0,0,0,1000,8
183,1,31,1,LBF5x5-n2-f3-static-v2,0,1000,43200,None,LBF5x5-n2-f3-static-v2/heuristic4-v0,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,0.3108158730158731,0.2890007714306366,1.1666666666666663,0.0,0.2745660296186346,0.2506390605673082,1.112898673953495,0.0,13.613,10.80422283183756,2.4248592886924745,2.4289866556254416,1.0,0,0,0,1000,None
184,0,67,0,LBF5x5-n2-f3-static-v2,0,1000,43200,None,POMetaRollout_pucb_32,0.99,1.25,20000,False,pucb,0.0625,50,0.01,"{1: {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic2-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic3-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic4-v0': 0.25}}","{(-1, 'LBF5x5-n2-f3-static-v2/heuristic1-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic2-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic3-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic4-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}}",32,0.0901899499320104,0.0624859054886115,0.2209082917514542,0.0716920958959399,0.2164891622543959,0.0714551737486424,1016.1313113972232,320.08396314715725,0.0025311687220002,0.0009459205657845,0.919820111533498,0.1667376158652501,0.5771922619047606,0.2806225187675685,1.5,0.0,0.5438897301530572,0.2703037879532518,1.441330678953495,0.0,17.662,13.222017849027432,5.382492581605911,4.544067578390953,1.0,0,0,0,1000,
185,1,67,1,LBF5x5-n2-f3-static-v2,0,1000,43200,None,LBF5x5-n2-f3-static-v2/heuristic4-v0,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,0.388696230158729,0.306486839543956,1.3333333333333333,0.0,0.3407176426127753,0.2661354202906134,1.274519432934,0.0,17.662,13.222017849027432,5.382492581605911,4.544067578390953,1.0,0,0,0,1000,
186,0,14,0,LBF5x5-n2-f3-static-v2,0,995,43200,None,baposgmcp_512,0.99,1.25,20000,False,pucb,0.0625,50,0.01,"{1: {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic2-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic3-v0': 0.25, 'LBF5x5-n2-f3-static-v2/heuristic4-v0': 0.25}}","{(-1, 'LBF5x5-n2-f3-static-v2/heuristic1-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic2-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic3-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF5x5-n2-f3-static-v2/heuristic4-v0'): {'LBF5x5-n2-f3-static-v2/heuristic1-v0': 1.0}}",512,1.750026195240372,1.0289745177485436,0.3889683229921241,0.0953771147850898,0.2938975518183986,0.0706963886969382,7457.159008524519,4097.68528082142,0.0208019026071175,0.0133380941023093,10.252818111982725,9.01586771806105,0.5218517189120204,0.326189821345218,1.6666666666666663,0.0,0.5027567981753873,0.312313872962745,1.5917742386046598,0.0,16.52462311557789,16.89774587963531,43.41226114100547,66.05574261824889,1.0,0,0,0,995,
187,1,14,1,LBF5x5-n2-f3-static-v2,0,995,43200,None,LBF5x5-n2-f3-static-v2/heuristic3-v0,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,0.3704339156097943,0.3157246870088921,1.3333333333333333,0.0,0.3497003399047651,0.2954518285191715,1.265008890420495,0.0,16.52462311557789,16.89774587963531,43.41226114100547,66.05574261824889,1.0,0,0,0,995,
